cod_local,periodo,codigo_ine,pct_area_viaria,pnc_jubilacion_per_1000,pnc_invalidez_per_1000,pnc_total_per_1000,densidad_poblacion_hab_km2,tasa_crecimiento_pct,clasificacion,ratio_poblacion_area,autonomia_financiera_pct,residuos_kg_habitante,agua_suministrada_per_1000hab,agua_residual_per_1000hab,carga_dbo5_t_anio,pct_verde_urbano,pct_forestal_osm,pct_parque,area_parque_m2_per_hab,area_verde_m2_per_hab,area_forestal_m2_per_hab,parques_per_1000hab,area_parque_m2_per_1000hab,pct_agua,pct_humedal,pct_ribera
28049003,2018,28049,,3.929414651298654,2.413166518675133,6.342581169973788,6809.47,-1.3866,Urbano,6809.47,62.18,384.6,6008.01368189592,18166.52821891033,1792.734,,,,19.61397507940386,21.001710236989982,30.9797214756902,0.7451746884925483,19613.975079403863,,,
28049003,2019,28049,,4.057691920964001,2.344450890942364,6.402142811906365,6792.91,-0.2431,Urbano,6792.91,65.37,395.0,6078.372785050392,17685.333268022678,1788.376,,,,19.661772449516903,21.05288938416135,31.055216076217533,0.7469906075115417,19661.772449516902,,,
28049003,2020,28049,,3.989446433333412,2.239565019363152,6.229011452696564,6770.45,-0.3306,Urbano,6770.45,61.26,376.4,6154.4396800629065,17216.79301151233,1782.463,,,,19.726996842402723,21.122728557211484,31.158236168618156,0.7494686144659729,19726.996842402725,,,
28049003,2021,28049,,0.4094056049760259,2.170856927108768,6.265061097565473,6760.64,-0.145,Urbano,6760.64,63.34,391.6,6184.698485351839,18678.140341810933,1779.879,,,,19.75563840389797,21.15339657696898,31.203474708697847,0.7505567654694671,19755.63840389797,,,
28049003,2022,28049,,3.983801695204505,2.028787900335628,6.012589595540133,6704.32,-0.833,Urbano,6704.32,58.82,406.5,6258.151769318577,20283.45079160256,1765.052,,,,19.921584197726933,21.331083428457987,31.46558141843268,0.7568613826988932,19921.584197726934,,,
28049003,2023,28049,9.432,4.050925419764737,1.9443392439030576,5.995264663667795,6668.97,-0.5273,Urbano,6668.97,61.68,378.6,6291.327287922067,20390.97678711754,1755.745,14.29,21.08,13.346,20.02719187736214,21.44416310137082,31.632385775405076,0.7608736326102955,20027.19187736214,0.235,0.0,0.235
28058004,2016,28058,,3.672338748933817,2.3854970684998102,6.057835817433628,4946.54,,Urbano,4946.54,59.51,380.5,2528.446575441235,7726.828414129814,4252.345,,,,10.399596232187092,11.243697565547894,11.935355949137616,0.8600666422895283,10399.596232187092,,,
28058004,2017,28058,,0.3818856205695121,2.422553288795891,6.241563170797075,4959.23,0.2565,Urbano,4959.23,57.8,402.0,2524.200052396632,7673.1220687423265,4263.251,,,,10.372992104546691,11.214934067571107,11.904823058627722,0.8578664296832059,10372.99210454669,,,
28058004,2018,28058,,3.929414651298654,2.413166518675133,6.342581169973788,4931.64,-0.5563,Urbano,4931.64,59.13,384.6,2540.5556186914346,7681.919147045757,4239.533,,,,10.43102290454888,11.277675038484189,11.97142355335613,0.8626656886345087,10431.02290454888,,,
28058004,2019,28058,,4.057691920964001,2.344450890942364,6.402142811906365,4934.54,0.0589,Urbano,4934.54,60.0,395.0,2562.55033557047,7455.86990191017,4242.03,,,,10.424883840991225,11.27103768714507,11.96437790397522,0.8621579762519359,10424.883840991222,,,
28058004,2020,28058,,3.989446433333412,2.239565019363152,6.229011452696564,4955.28,0.4202,Urbano,4955.28,58.29,376.4,2575.218236219501,7204.067573542265,4259.857,,,,10.381257904315367,11.223870775368354,11.914309509855332,0.858550027247396,10381.25790431537,,,
28058004,2021,28058,,0.4094056049760259,2.170856927108768,6.265061097565473,4897.17,-1.1727,Urbano,4897.17,54.5,391.6,2614.790384585373,7896.815323071481,4209.903,,,,10.50443992446666,11.357051078638944,12.055682427054668,0.8687374176130009,10504.439924466662,,,
28058004,2022,28058,,3.983801695204505,2.028787900335628,6.012589595540133,4837.51,-1.2183,Urbano,4837.51,47.42,406.5,2656.165905703798,8608.965143161076,4158.613,,,,10.633995292035957,11.497122033166397,12.204369875349542,0.8794518960877556,10633.995292035956,,,
